person,Person_ID,position,declaration_year,source_type,source_link,index,point_title,declarer/family,no_data,numeric_value,unit_of_measures,family_member,transport_mark,transport_model,transport_description,transport_year,purchase_cost,unit_of_measures_purchase,rent_cost,unit_of_measures_rent,foreign_income_country,foreign_income_currency,foreign_currency_number,additional,block,chapter_num,chapter_name
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,39,Інші засоби,декларант,,,,,Комбайн зернозбиральний Class,DOMINATOR-48,,1982,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,40,Автомобілі легкові,сім'я,,,,,Audi,Q5,,2011,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,40,Автомобілі легкові,сім'я,,,,,Hyundai,Accent,,2009,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,40,Автомобілі легкові,сім'я,,,,,ВАЗ,2106,,2001,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Негой Федір Федорович,279,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/15823/2013,41,Автомобілі вантажні (спеціальні),сім'я,,,,,ГАЗ,33021,,2000,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,4,Член сім'ї декларанта,декларант,,,,"Дружина, Недельска-Табачнік Т.В.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,4,Член сім'ї декларанта,декларант,,,,"Син, Табачнік П.Я.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,4,Член сім'ї декларанта,декларант,,,,"Син, Табачнік П.Я.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,4,Член сім'ї декларанта,декларант,,,,"Син, Табачнік М.Я.",,,,,,,,,,,,,Члени сім’ї,1,Загальні відомості
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,35,Автомобілі легкові,декларант,,,,,Mercedes-Benz,,5461,2010,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,35,Автомобілі легкові,декларант,,,,,Maybach,,"62, 5513",2003,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,35,Автомобілі легкові,декларант,,,,,Hummer,H2,5967,2008,,,,,,,,,Транспортні засоби декларанта,4,Відомості про транспортні засоби
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,40,Автомобілі легкові,сім'я,,,,,Porsche,Cayenne,4806,2009,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
Табачнік Яків Піневич,381,,2013,Сайт ВРУ,http://gapp.rada.gov.ua/declview/Home/Main/8868/2013,40,Автомобілі легкові,сім'я,,,,,Lexus,RX 400,3311,2006,,,,,,,,,Транспортні засоби сім’ї,4,Відомості про транспортні засоби
